name,location,price,area_type,area,bhk
"Smart World Orchard
3.7","3 BHK Flat in Sector 61, Gurgaon",₹2.6 Cr,Super Built-up Area,"1,626 sqft
(151 sqm)","3 BHK
(3 Baths)"
"Unitech Fresco
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹2.6 Cr,Super Built-up Area,"1,815 sqft
(169 sqm)","3 BHK
(3 Baths)"
"Orchid Petals
4.1","4 BHK Flat in Sector 49, Gurgaon",₹4.5 Cr,Super Built-up Area,"2,562 sqft
(238 sqm)","4 BHK
(4 Baths)"
Sare Homes,"4 BHK Flat in Sector 92, Gurgaon",₹1.9 Cr,Super Built-up Area,"2,226 sqft
(207 sqm)","4 BHK
(4 Baths)"
"Emaar MGF The Palm Drive
4.0","3 BHK Flat in Sector 66, Gurgaon",₹4.15 Cr,Carpet Area,"1,902 sqft
(177 sqm)","3 BHK
(3 Baths)"
"The Close North
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹4.3 Cr,Super Built-up Area,"2,605 sqft
(242 sqm)","3 BHK
(3 Baths)"
"Bestech Park View City 2
4.0","4 BHK Flat in Sector 49, Gurgaon",₹4 Cr,Super Built-up Area,"2,383 sqft
(221 sqm)","4 BHK
(5 Baths)"
"Unitech Escape
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹3.18 Cr,Super Built-up Area,"1,935 sqft
(180 sqm)","3 BHK
(3 Baths)"
"Conscient Heritage One
3.4","4 BHK Flat in Sector 62, Gurgaon",₹4.9 Cr,Super Built-up Area,"2,000 sqft
(186 sqm)","4 BHK
(4 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2.41 Cr,Super Built-up Area,"1,689 sqft
(157 sqm)","3 BHK
(3 Baths)"
"ATS Triumph
3.7","4 BHK Flat in Sector 104, Gurgaon",₹4.05 Cr,Super Built-up Area,"3,150 sqft
(293 sqm)","4 BHK
(4 Baths)"
"DLF The Primus
4.0","3 BHK Flat in Sector 82A, Gurgaon",₹2.9 Cr,Carpet Area,"1,818 sqft
(169 sqm)","3 BHK
(4 Baths)"
"M3M Heights
3.7","3 BHK Flat in Sector 65, Gurgaon",₹3.9 Cr,Super Built-up Area,"2,054 sqft
(191 sqm)","3 BHK
(3 Baths)"
"M3M Woodshire
4.1","2 BHK Flat in Sector 107, Gurgaon",₹1.55 Cr,Super Built-up Area,"1,534 sqft
(143 sqm)","2 BHK
(2 Baths)"
"Vatika City
4.0","4 BHK Flat in Sector 49, Gurgaon",₹5 Cr,Super Built-up Area,"2,999 sqft
(279 sqm)","4 BHK
(5 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹65 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"ATS Triumph
3.7","3 BHK Flat in Sector 104, Gurgaon",₹2.9 Cr,Super Built-up Area,"2,290 sqft
(213 sqm)","3 BHK
(3 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2.51 Cr,Super Built-up Area,"1,689 sqft
(157 sqm)","3 BHK
(3 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2 Cr,Super Built-up Area,"1,389 sqft
(129 sqm)","3 BHK
(2 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2.49 Cr,Super Built-up Area,"1,689 sqft
(157 sqm)","3 BHK
(3 Baths)"
"Ireo Skyon
4.1","3 BHK Flat in Sector 60, Gurgaon",₹4.05 Cr,Super Built-up Area,"2,045 sqft
(190 sqm)","3 BHK
(4 Baths)"
"Unitech Fresco
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹2.8 Cr,Super Built-up Area,"1,877 sqft
(174 sqm)","3 BHK
(4 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.6 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
"DLF New Town Heights 1
4.0","4 BHK Flat in Sector 90, Gurgaon",₹2.8 Cr,Super Built-up Area,"2,727 sqft
(253 sqm)","4 BHK
(5 Baths)"
"The Close South
4.0","3 BHK Flat in Nirvana Country, Gurgaon",₹4.18 Cr,Super Built-up Area,"2,531 sqft
(235 sqm)","3 BHK
(4 Baths)"
DLF The Skycourt,"3 BHK Flat in Sector 86, Gurgaon",₹2.5 Cr,Super Built-up Area,"1,929 sqft
(179 sqm)","3 BHK
(3 Baths)"
"ATS Triumph
3.7","4 BHK Flat in Sector 104, Gurgaon",₹3.9 Cr,Super Built-up Area,"3,150 sqft
(293 sqm)","4 BHK
(5 Baths)"
"Bestech Park View City 2
4.0","3 BHK Flat in Sector 49, Gurgaon",₹3.65 Cr,Super Built-up Area,"2,153 sqft
(200 sqm)","3 BHK
(4 Baths)"
"DLF Gardencity Enclave
3.6","3 BHK Flat in Sector 93, Gurgaon",₹1.92 Cr,Super Built-up Area,"1,616 sqft
(150 sqm)","3 BHK
(4 Baths)"
"Vatika City
4.0","3 BHK Flat in Sector 49, Gurgaon",₹3.18 Cr,Super Built-up Area,"1,669 sqft
(155 sqm)","3 BHK
(4 Baths)"
"Mapsko Royale Ville
4.0","4 BHK Flat in Sector 82, Gurgaon",₹4 Cr,Super Built-up Area,"3,500 sqft
(325 sqm)","4 BHK
(6 Baths)"
Tulip Violet,"3 BHK Flat in Sector 69, Gurgaon",₹2.45 Cr,Built-up Area,"1,578 sqft
(147 sqm)","3 BHK
(3 Baths)"
"Adani M2K Oyster Grande
3.8","3 BHK Flat in Sector 102, Gurgaon",₹3.12 Cr,Built-up Area,"2,550 sqft
(237 sqm)","3 BHK
(4 Baths)"
DLF Regal Gardens,"3 BHK Flat in Sector 90, Gurgaon",₹2.1 Cr,Super Built-up Area,"1,760 sqft
(164 sqm)","3 BHK
(3 Baths)"
"Silverglades The Melia
3.7","2 BHK Flat in Sohna, Gurgaon",₹1.35 Cr,Super Built-up Area,"1,425 sqft
(132 sqm)","2 BHK
(2 Baths)"
"Emaar Imperial Gardens
3.8","3 BHK Flat in Sector 102, Gurgaon",₹2.38 Cr,Super Built-up Area,"2,025 sqft
(188 sqm)","3 BHK
(4 Baths)"
"Ireo Skyon
4.1","3 BHK Flat in Sector 60, Gurgaon",₹3.85 Cr,Super Built-up Area,"2,045 sqft
(190 sqm)","3 BHK
(4 Baths)"
"DLF The Ultima
4.1","4 BHK Flat in Sector 81, Gurgaon",₹4.9 Cr,Super Built-up Area,"2,995 sqft
(278 sqm)","4 BHK
(4 Baths)"
"Vatika City
4.0","3 BHK Flat in Sector 49, Gurgaon",₹3.05 Cr,Super Built-up Area,"1,666 sqft
(155 sqm)","3 BHK
(3 Baths)"
Eldeco Acclaim,"2 BHK Flat in Sohna, Gurgaon",₹1.32 Cr,Super Built-up Area,"1,269 sqft
(118 sqm)","2 BHK
(2 Baths)"
"DLF The Ultima
4.1","3 BHK Flat in Sector 81, Gurgaon",₹3.65 Cr,Super Built-up Area,"2,100 sqft
(195 sqm)","3 BHK
(4 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2.4 Cr,Super Built-up Area,"1,689 sqft
(157 sqm)","3 BHK
(3 Baths)"
"Emaar Digihomes
3.8","2 BHK Flat in Sector 62, Gurgaon",₹3.5 Cr,Super Built-up Area,"1,508 sqft
(140 sqm)","2 BHK
(2 Baths)"
"Pareena Express Heights
3.8","3 BHK Flat in Sector 99, Gurgaon",₹1.97 Cr,Super Built-up Area,"1,970 sqft
(183 sqm)","3 BHK
(4 Baths)"
Apartment,"2 BHK Flat in Wazirpur, Gurgaon",₹67 Lac,Built-up Area,"594 sqft
(55 sqm)","2 BHK
(2 Baths)"
"M3M Merlin
3.8","3 BHK Flat in Sector 67, Gurgaon",₹4 Cr,Super Built-up Area,"2,047 sqft
(190 sqm)","3 BHK
(3 Baths)"
"Smart World Orchard
3.7","3 BHK Flat in Sector 61, Gurgaon",₹2.7 Cr,Super Built-up Area,"1,626 sqft
(151 sqm)","3 BHK
(3 Baths)"
Greenopolis,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,910 sqft
(177 sqm)","3 BHK
(3 Baths)"
"Sobha City
3.7","2 BHK Flat in Sector 108, Gurgaon",₹3.1 Cr,Super Built-up Area,"1,381 sqft
(128 sqm)","2 BHK
(2 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.45 Cr,Built-up Area,"1,194 sqft
(111 sqm)","2 BHK
(2 Baths)"
Vatika Xpressions,"2 BHK Flat in Sector 88B, Gurgaon",₹1.64 Cr,Super Built-up Area,"1,350 sqft
(125 sqm)","2 BHK
(2 Baths)"
"DLF New Town Heights 2
4.0","4 BHK Flat in Sector 86, Gurgaon",₹2.5 Cr,Super Built-up Area,"2,364 sqft
(220 sqm)","4 BHK
(4 Baths)"
"Bestech Park View City 2
4.0","3 BHK Flat in Sector 49, Gurgaon",₹3.85 Cr,Super Built-up Area,"2,153 sqft
(200 sqm)","3 BHK
(4 Baths)"
"The Close North
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹3.45 Cr,Super Built-up Area,"2,130 sqft
(198 sqm)","3 BHK
(3 Baths)"
"The Close South
4.0","3 BHK Flat in Nirvana Country, Gurgaon",₹4.2 Cr,Super Built-up Area,"2,480 sqft
(230 sqm)","3 BHK
(4 Baths)"
DLF Princeton Estate,"3 BHK Flat in Golf Course Road, Gurgaon",₹3.2 Cr,Carpet Area,"840 sqft
(78 sqm)","3 BHK
(3 Baths)"
Sushant Lok 1 Builder Floors,"3 BHK Flat in Sushant Lok Phase 1, Gurgaon",₹3.15 Cr,Carpet Area,"1,900 sqft
(177 sqm)","3 BHK
(3 Baths)"
"Satya The Hermitage
3.5","4 BHK Flat in Sector 103, Gurgaon",₹1.95 Cr,Super Built-up Area,"2,639 sqft
(245 sqm)","4 BHK
(5 Baths)"
Godrej Meridien,"3 BHK Flat in Sector 106, Gurgaon",₹3.17 Cr,Super Built-up Area,"2,002 sqft
(186 sqm)","3 BHK
(3 Baths)"
"Ireo Skyon
4.1","2 BHK Flat in Sector 60, Gurgaon",₹2.65 Cr,Super Built-up Area,"1,365 sqft
(127 sqm)","2 BHK
(2 Baths)"
Ashiana Anmol,"3 BHK Flat in Sector-35 Sohna, Gurgaon",₹1.75 Cr,Super Built-up Area,"1,527 sqft
(142 sqm)","3 BHK
(3 Baths)"
"Ireo Victory Valley
4.0","3 BHK Flat in Sector 67, Gurgaon",₹4.9 Cr,Super Built-up Area,"2,698 sqft
(251 sqm)","3 BHK
(4 Baths)"
"SS The Leaf
4.1","3 BHK Flat in Sector 85, Gurgaon",₹2.69 Cr,Super Built-up Area,"2,408 sqft
(224 sqm)","3 BHK
(4 Baths)"
"SBTL Caladium
3.9","3 BHK Flat in Sector 109, Gurgaon",₹2 Cr,Super Built-up Area,"1,880 sqft
(175 sqm)","3 BHK
(2 Baths)"
"Emaar Mgf Palm Terraces Select
3.6","4 BHK Flat in Sector 66, Gurgaon",₹4.1 Cr,Super Built-up Area,"2,410 sqft
(224 sqm)","4 BHK
(5 Baths)"
"Bestech Park View Spa Next
3.8","3 BHK Flat in Sector 67, Gurgaon",₹3 Cr,Super Built-up Area,"1,935 sqft
(180 sqm)","3 BHK
(4 Baths)"
"Emaar Digihomes
3.8","2 BHK Flat in Sector 62, Gurgaon",₹3.5 Cr,Super Built-up Area,"1,508 sqft
(140 sqm)","2 BHK
(2 Baths)"
DLF The Skycourt,"3 BHK Flat in Sector 86, Gurgaon",₹2.4 Cr,Super Built-up Area,"1,929 sqft
(179 sqm)","3 BHK
(3 Baths)"
"AWHO Sujjan Vihar
3.9","3 BHK Flat in Sector 43, Gurgaon",₹2.5 Cr,Carpet Area,"1,645 sqft
(153 sqm)","3 BHK
(3 Baths)"
"Tulip Orange
3.9","3 BHK Flat in Sector 70, Gurgaon",₹1.85 Cr,Super Built-up Area,"1,437 sqft
(134 sqm)","3 BHK
(3 Baths)"
"M3M Heights
3.7","2 BHK Flat in Sector 65, Gurgaon",₹2.42 Cr,Super Built-up Area,"1,261 sqft
(117 sqm)","2 BHK
(2 Baths)"
"DLF Garden City Floors
3.8","4 BHK Flat in Sector 92, Gurgaon",₹3 Cr,Carpet Area,"2,430 sqft
(226 sqm)","4 BHK
(4 Baths)"
"Spaze Privy AT4
3.8","3 BHK Flat in Sector 84, Gurgaon",₹2.25 Cr,Super Built-up Area,"2,275 sqft
(211 sqm)","3 BHK
(4 Baths)"
"Sare Crescent Parc
3.6","3 BHK Flat in Sector 92, Gurgaon",₹1.2 Cr,Super Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
"The Close North
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹3.5 Cr,Super Built-up Area,"2,093 sqft
(194 sqm)","3 BHK
(3 Baths)"
"Emaar Mgf Palm Terraces Select
3.6","4 BHK Flat in Sector 66, Gurgaon",₹4.4 Cr,Super Built-up Area,"2,410 sqft
(224 sqm)","4 BHK
(4 Baths)"
"Unitech Harmony
3.3","4 BHK Flat in Nirvana Country, Gurgaon",₹4.68 Cr,Super Built-up Area,"3,309 sqft
(307 sqm)","4 BHK
(4 Baths)"
"The Close North
3.8","3 BHK Flat in Pocket H Nirvana Country, Gurgaon",₹4.2 Cr,Super Built-up Area,"2,480 sqft
(230 sqm)","3 BHK
(4 Baths)"
"The Close South
4.0","3 BHK Flat in Nirvana Country, Gurgaon",₹4.45 Cr,Super Built-up Area,"2,531 sqft
(235 sqm)","3 BHK
(4 Baths)"
"Antriksh Heights
3.8","3 BHK Flat in Sector 84, Gurgaon",₹1.48 Cr,Super Built-up Area,"1,725 sqft
(160 sqm)","3 BHK
(3 Baths)"
"Emaar Mgf Palm Terraces Select
3.6","4 BHK Flat in Sector 66, Gurgaon",₹4.2 Cr,Super Built-up Area,"2,410 sqft
(224 sqm)","4 BHK
(4 Baths)"
,,,,,
"Vipul Greens
4.2","3 BHK Flat in Sector 48, Gurgaon",₹3 Cr,Super Built-up Area,"1,860 sqft
(173 sqm)","3 BHK
(4 Baths)"
